date,month,month_name,year,employees,monthly_growth,growth_rate_pct
2000-01-01,2000-01,January 2000,2000,5,0,0.0
2000-02-01,2000-02,February 2000,2000,7,2,40.0
2000-03-01,2000-03,March 2000,2000,11,4,57.143
2000-04-01,2000-04,April 2000,2000,15,4,36.364
2000-05-01,2000-05,May 2000,2000,18,3,20.0
2000-06-01,2000-06,June 2000,2000,21,3,16.667
2000-07-01,2000-07,July 2000,2000,27,6,28.571
2000-08-01,2000-08,August 2000,2000,30,3,11.111
2000-09-01,2000-09,September 2000,2000,33,3,10.0
2000-10-01,2000-10,October 2000,2000,39,6,18.182
2000-11-01,2000-11,November 2000,2000,42,3,7.692
2000-12-01,2000-12,December 2000,2000,47,5,11.905
2001-01-01,2001-01,January 2001,2001,53,6,12.766
2001-02-01,2001-02,February 2001,2001,54,1,1.887
2001-03-01,2001-03,March 2001,2001,59,5,9.259
2001-04-01,2001-04,April 2001,2001,66,7,11.864
2001-05-01,2001-05,May 2001,2001,70,4,6.061
2001-06-01,2001-06,June 2001,2001,78,8,11.429
2001-07-01,2001-07,July 2001,2001,80,2,2.564
2001-08-01,2001-08,August 2001,2001,83,3,3.75
2001-09-01,2001-09,September 2001,2001,95,12,14.458
2001-10-01,2001-10,October 2001,2001,96,1,1.053
2001-11-01,2001-11,November 2001,2001,102,6,6.25
2001-12-01,2001-12,December 2001,2001,103,1,0.98
2002-01-01,2002-01,January 2002,2002,112,9,8.738
2002-02-01,2002-02,February 2002,2002,120,8,7.143
2002-03-01,2002-03,March 2002,2002,121,1,0.833
2002-04-01,2002-04,April 2002,2002,133,12,9.917
2002-05-01,2002-05,May 2002,2002,134,1,0.752
2002-06-01,2002-06,June 2002,2002,141,7,5.224
2002-07-01,2002-07,July 2002,2002,144,3,2.128
2002-08-01,2002-08,August 2002,2002,160,16,11.111
2002-09-01,2002-09,September 2002,2002,160,0,0.0
2002-10-01,2002-10,October 2002,2002,160,0,0.0
2002-11-01,2002-11,November 2002,2002,173,13,8.125
2002-12-01,2002-12,December 2002,2002,173,0,0.0
2003-01-01,2003-01,January 2003,2003,183,10,5.78
2003-02-01,2003-02,February 2003,2003,183,0,0.0
2003-03-01,2003-03,March 2003,2003,187,4,2.186
2003-04-01,2003-04,April 2003,2003,203,16,8.556
2003-05-01,2003-05,May 2003,2003,212,9,4.433
2003-06-01,2003-06,June 2003,2003,214,2,0.943
2003-07-01,2003-07,July 2003,2003,217,3,1.402
2003-08-01,2003-08,August 2003,2003,220,3,1.382
2003-09-01,2003-09,September 2003,2003,220,0,0.0
2003-10-01,2003-10,October 2003,2003,228,8,3.636
2003-11-01,2003-11,November 2003,2003,237,9,3.947
2003-12-01,2003-12,December 2003,2003,255,18,7.595
2004-01-01,2004-01,January 2004,2004,257,2,0.784
2004-02-01,2004-02,February 2004,2004,257,0,0.0
2004-03-01,2004-03,March 2004,2004,272,15,5.837
2004-04-01,2004-04,April 2004,2004,273,1,0.368
2004-05-01,2004-05,May 2004,2004,276,3,1.099
2004-06-01,2004-06,June 2004,2004,293,17,6.159
2004-07-01,2004-07,July 2004,2004,301,8,2.73
2004-08-01,2004-08,August 2004,2004,305,4,1.329
2004-09-01,2004-09,September 2004,2004,305,0,0.0
2004-10-01,2004-10,October 2004,2004,306,1,0.328
2004-11-01,2004-11,November 2004,2004,318,12,3.922
2004-12-01,2004-12,December 2004,2004,332,14,4.403
2005-01-01,2005-01,January 2005,2005,332,0,0.0
2005-02-01,2005-02,February 2005,2005,337,5,1.506
2005-03-01,2005-03,March 2005,2005,337,0,0.0
2005-04-01,2005-04,April 2005,2005,341,4,1.187
2005-05-01,2005-05,May 2005,2005,369,28,8.211
2005-06-01,2005-06,June 2005,2005,381,12,3.252
2005-07-01,2005-07,July 2005,2005,381,0,0.0
2005-08-01,2005-08,August 2005,2005,387,6,1.575
2005-09-01,2005-09,September 2005,2005,387,0,0.0
2005-10-01,2005-10,October 2005,2005,387,0,0.0
2005-11-01,2005-11,November 2005,2005,398,11,2.842
2005-12-01,2005-12,December 2005,2005,421,23,5.779
2006-01-01,2006-01,January 2006,2006,421,0,0.0
2006-02-01,2006-02,February 2006,2006,439,18,4.276
2006-03-01,2006-03,March 2006,2006,439,0,0.0
2006-04-01,2006-04,April 2006,2006,446,7,1.595
2006-05-01,2006-05,May 2006,2006,446,0,0.0
